,,,diced tom w/GrnChl $0.59,salt $0.39,half and half $1.99,Frozen Cheese Pizza $5.00,mango $0.99,,Ribeye beef steaks $10.00,Polska Kielbasa $1.99,,,cucumbers large $0.49,,,,,,,,,,,,,,,,diced tom w/GrnChl $0.59,salt $0.39,half and half $1.99,Frozen Cheese Pizza $5.00,mango $0.99,,Ribeye beef steaks $10.00,Polska Kielbasa $1.99,,,cucumbers large $0.49,,,,,,,,,,,,
,,,green beans $0.48,shortening $3.29,heavy cream $1.55,Pepperoni Pizza $5.00,nectarines $3.00,,Ham sliced $5.29,sliced cheese $1.99,,,eggplant $1.78,,,,,,,,,,,,,,,,green beans $0.48,shortening $3.29,heavy cream $1.55,Pepperoni Pizza $5.00,nectarines $3.00,,Ham sliced $5.29,sliced cheese $1.99,,,eggplant $1.78,,,,,,,,,,,,
,,,olives $1.49,sugar brown $1.29,whole milk half gallon $1.74,,oranges $3.89,,Boiled pork $4.99,,,,garlic $1.49,,,,,,,,,,,,,,,,olives $1.49,sugar brown $1.29,whole milk half gallon $1.74,,oranges $3.89,,Boiled pork $4.99,,,,garlic $1.49,,,,,,,,,,,,
,,,pepperoni $2.19,sugar granulated $1.73,2% Reduced-Fat Milk $1.55,,pears $3.49,,,,,,green onions $0.99,,,,,,,,,,,,,,,,pepperoni $2.19,sugar granulated $1.73,2% Reduced-Fat Milk $1.55,,pears $3.49,,,,,,green onions $0.99,,,,,,,,,,,,
,,,pineapple chunks $0.95,sugar powdered $1.29,Almond Unsweetened Half Gallon $2.72,,pineapple $1.29,,,,,,kale $2.99,,,,,,,,,,,,,,,,pineapple chunks $0.95,sugar powdered $1.29,Almond Unsweetened Half Gallon $2.72,,pineapple $1.29,,,,,,kale $2.99,,,,,,,,,,,,
,,,refried beans $0.79,yeast $0.89,mozzarella cheese shrd $3.29,,strawberries $2.29,,,,,,lettuce $0.99,,,,,,,,,,,,,,,,refried beans $0.79,yeast $0.89,mozzarella cheese shrd $3.29,,strawberries $2.29,,,,,,lettuce $0.99,,,,,,,,,,,,
,,,salsa $1.89,,sour cream $1.49,,Tangerines $2.00,,,,,,mushrooms $1.49,,,,,,,,,,,,,,,,salsa $1.89,,sour cream $1.49,,Tangerines $2.00,,,,,,mushrooms $1.49,,,,,,,,,,,,
,,,spaghetti sauce $0.99,,tortellini 20 oz $3.99,,,,,,,,onions $1.69,,,,,,,,,,,,,,,,spaghetti sauce $0.99,,tortellini 20 oz $3.99,,,,,,,,onions $1.69,,,,,,,,,,,,
,,,taco shells $0.89,,yogurt $1.69,,,,,,,,peppers green $1.99,,,,,,,,,,,,,,,,taco shells $0.89,,yogurt $1.69,,,,,,,,peppers green $1.99,,,,,,,,,,,,
,,,tomato paste $0.39,,Hard Cheeses $6.50,,,,,,,,peppers multi 3 pk $2.49,,,,,,,,,,,,,,,,tomato paste $0.39,,Hard Cheeses $6.50,,,,,,,,peppers multi 3 pk $2.49,,,,,,,,,,,,
,,,tomato sauce $0.29,,Chadder Cheese $3.99,,,,,,,,potatoes 10 lb $3.99,,,,,,,,,,,,,,,,tomato sauce $0.29,,Chadder Cheese $3.99,,,,,,,,potatoes 10 lb $3.99,,,,,,,,,,,,
,,,tomatoes fire roasted $0.89,,Classic American cheese $4.99,,,,,,,,purple onions $1.49,,,,,,,,,,,,,,,,tomatoes fire roasted $0.89,,Classic American cheese $4.99,,,,,,,,purple onions $1.49,,,,,,,,,,,,
,,,tomatoes stewed $0.69,,,,,,,,,,romain lettuce $1.99,,,,,,,,,,,,,,,,tomatoes stewed $0.69,,,,,,,,,,romain lettuce $1.99,,,,,,,,,,,,
,,,,,,,,,,,,,romaine hearts $2.29,,,,,,,,,,,,,,,,,,,,,,,,,,romaine hearts $2.29,,,,,,,,,,,,
,,,,,,,,,,,,,seedless cucumber $1.19,,,,,,,,,,,,,,,,,,,,,,,,,,seedless cucumber $1.19,,,,,,,,,,,,
,,,,,,,,,,,,,spinach $1.49,,,,,,,,,,,,,,,,,,,,,,,,,,spinach $1.49,,,,,,,,,,,,
,,,,,,,,,,,,,squash $0.99,,,,,,,,,,,,,,,,,,,,,,,,,,squash $0.99,,,,,,,,,,,,
,,,,,,,,,,,,,sweet potatoes $1.99,,,,,,,,,,,,,,,,,,,,,,,,,,sweet potatoes $1.99,,,,,,,,,,,,
,,,,,,,,,,,,,tomatoes grape $1.69,,,,,,,,,,,,,,,,,,,,,,,,,,tomatoes grape $1.69,,,,,,,,,,,,
,,,,,,,,,,,,,tomatoes roma $1.49,,,,,,,,,,,,,,,,,,,,,,,,,,tomatoes roma $1.49,,,,,,,,,,,,
,,,,,,,,,,,,,zucchini $0.89,,,,,,,,,,,,,,,,,,,,,,,,,,zucchini $0.89,,,,,,,,,,,,
,,,,,,,,,,,,,Salad Mix $3.00,,,,,,,,,,,,,,,,,,,,,,,,,,Salad Mix $3.00,,,,,,,,,,,,
